date_created,text,favorite_count,retweet_count,,,,
12/15/2014 14:45,Mercal Guanarito al servicio de la poblaci¢n con un abastecimiento completo de alimentos @Mercalportu pic.twitter.com/XU9aEw7DBa,2,22,,,,
12/15/2014 14:45,Mercal Guanarito al servicio de la poblaci¢n con un abastecimiento completo de alimentos @Mercalportu pic.twitter.com/XU9aEw7DBa,2,22,,,,
12/15/2014 14:45,Mercal Guanarito al servicio de la poblaci¢n con un abastecimiento completo de alimentos @Mercalportu pic.twitter.com/XU9aEw7DBa,2,22,,,,
12/15/2014 14:45,Mercal Guanarito al servicio de la poblaci¢n con un abastecimiento completo de alimentos @Mercalportu pic.twitter.com/XU9aEw7DBa,2,22,,,,
12/15/2014 14:45,Mercal Guanarito al servicio de la poblaci¢n con un abastecimiento completo de alimentos @Mercalportu pic.twitter.com/XU9aEw7DBa,2,22,,,,
12/15/2014 14:45,Mercal Guanarito al servicio de la poblaci¢n con un abastecimiento completo de alimentos @Mercalportu pic.twitter.com/XU9aEw7DBa,2,22,,,,
12/15/2014 14:45,Mercal Guanarito al servicio de la poblaci¢n con un abastecimiento completo de alimentos @Mercalportu pic.twitter.com/XU9aEw7DBa,2,22,,,,
12/15/2014 14:45,Mercal Guanarito al servicio de la poblaci¢n con un abastecimiento completo de alimentos @Mercalportu pic.twitter.com/XU9aEw7DBa,2,22,,,,
12/17/2014 18:15,"La escasez , la inflaci¢n, la inseguridad y las miles de protestas anuncian tempestad. http:// bit.ly/1nUdWe9 pic.twitter.com/bdYgsLKODA",0,14,,,,
12/17/2014 18:15,"La escasez , la inflaci¢n, la inseguridad y las miles de protestas anuncian tempestad. http:// bit.ly/1nUdWe9 pic.twitter.com/bdYgsLKODA",0,14,,,,
12/17/2014 18:15,"La escasez , la inflaci¢n, la inseguridad y las miles de protestas anuncian tempestad. http:// bit.ly/1nUdWe9 pic.twitter.com/bdYgsLKODA",0,14,,,,
12/18/2014 8:32,"Fedec maras no s¢lo aupa la guerra econ¢mica, el acaparamiento y escasez inducida. Participa en su dise¤o y ejecuci¢n. Es el rol q le toca.",7,41,,,,
12/18/2014 8:32,"Fedec maras no s¢lo aupa la guerra econ¢mica, el acaparamiento y escasez inducida. Participa en su dise¤o y ejecuci¢n. Es el rol q le toca.",7,41,,,,
12/18/2014 8:32,"Fedec maras no s¢lo aupa la guerra econ¢mica, el acaparamiento y escasez inducida. Participa en su dise¤o y ejecuci¢n. Es el rol q le toca.",7,41,,,,
12/18/2014 16:55,En Anzoategui dispersan con gas lacrimogeno cola para comprar alimentos en pic.twitter.com/LfOPiA5Dvn #pensionados,2,53,,,,
12/18/2014 16:55,En Anzoategui dispersan con gas lacrimogeno cola para comprar alimentos en pic.twitter.com/LfOPiA5Dvn #pensionados,2,53,,,,
12/18/2014 16:55,En Anzoategui dispersan con gas lacrimogeno cola para comprar alimentos en pic.twitter.com/LfOPiA5Dvn #pensionados,2,53,,,,
12/18/2014 16:55,En Anzoategui dispersan con gas lacrimogeno cola para comprar alimentos en pic.twitter.com/LfOPiA5Dvn #pensionados,2,53,,,,
12/18/2014 16:55,En Anzoategui dispersan con gas lacrimogeno cola para comprar alimentos en pic.twitter.com/LfOPiA5Dvn #pensionados,2,53,,,,
12/18/2014 16:55,En Anzoategui dispersan con gas lacrimogeno cola para comprar alimentos en pic.twitter.com/LfOPiA5Dvn #pensionados,2,53,,,,
